"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 15 14:17:58 BRT 2026","Wed Jul 15 14:17:58 BRT 2026","817","Actions","","","","",".select() - select an option in a <select> element",""
"passed","Wed Jul 15 14:18:38 BRT 2026","Wed Jul 15 14:18:38 BRT 2026","21","Spies, Stubs, and Clock","","","","","cy.stub() matches depending on arguments",""
"passed","Wed Jul 15 14:18:05 BRT 2026","Wed Jul 15 14:18:06 BRT 2026","94","Assertions","Explicit Assertions","","","","expect - make an assertion about a specified subject",""
"passed","Wed Jul 15 14:18:44 BRT 2026","Wed Jul 15 14:18:44 BRT 2026","76","Traversal","","","","",".nextUntil() - get next sibling DOM elements until next el",""
"passed","Wed Jul 15 14:18:44 BRT 2026","Wed Jul 15 14:18:44 BRT 2026","83","Traversal","","","","",".not() - remove DOM elements from set of DOM elements",""
"passed","Wed Jul 15 14:18:44 BRT 2026","Wed Jul 15 14:18:44 BRT 2026","78","Traversal","","","","",".parentsUntil() - get parent DOM elements from DOM elements until el",""
"passed","Wed Jul 15 14:18:43 BRT 2026","Wed Jul 15 14:18:43 BRT 2026","114","Traversal","","","","",".closest() - get closest ancestor DOM element",""
"passed","Wed Jul 15 14:18:13 BRT 2026","Wed Jul 15 14:18:13 BRT 2026","168","Cookies","","","","","cy.clearCookie() - clear a browser cookie",""
"passed","Wed Jul 15 14:18:18 BRT 2026","Wed Jul 15 14:18:18 BRT 2026","95","Files","","","","","cy.readFile() - read file contents",""
"passed","Wed Jul 15 14:18:44 BRT 2026","Wed Jul 15 14:18:44 BRT 2026","76","Traversal","","","","",".parent() - get parent DOM element from DOM elements",""
"passed","Wed Jul 15 14:18:20 BRT 2026","Wed Jul 15 14:18:20 BRT 2026","161","Location","","","","","cy.hash() - get the current URL hash",""
"passed","Wed Jul 15 14:18:44 BRT 2026","Wed Jul 15 14:18:44 BRT 2026","80","Traversal","","","","",".prevAll() - get all previous sibling DOM elements",""
"passed","Wed Jul 15 14:18:33 BRT 2026","Wed Jul 15 14:18:33 BRT 2026","83","Querying","","","","","cy.root() - query the root DOM element",""
"passed","Wed Jul 15 14:18:43 BRT 2026","Wed Jul 15 14:18:43 BRT 2026","79","Traversal","","","","",".first() - get first DOM element",""
"passed","Wed Jul 15 14:18:10 BRT 2026","Wed Jul 15 14:18:10 BRT 2026","78","Connectors","","","","",".spread() - spread an array as individual args to callback function",""
"passed","Wed Jul 15 14:18:15 BRT 2026","Wed Jul 15 14:18:16 BRT 2026","71","Cypress APIs","Cypress.log","","","","Control what is printed to the Command Log",""
"passed","Wed Jul 15 14:18:15 BRT 2026","Wed Jul 15 14:18:15 BRT 2026","84","Cypress APIs","Cypress.arch","","","","Get CPU architecture name of underlying OS",""
"passed","Wed Jul 15 14:18:47 BRT 2026","Wed Jul 15 14:18:47 BRT 2026","221","Utilities","","","","","Cypress.Blob - blob utilities and base64 string conversion",""
"passed","Wed Jul 15 14:18:46 BRT 2026","Wed Jul 15 14:18:47 BRT 2026","369","Utilities","","","","","Cypress._ - call a lodash method",""
"passed","Wed Jul 15 14:18:43 BRT 2026","Wed Jul 15 14:18:44 BRT 2026","82","Traversal","","","","",".last() - get last DOM element",""
"passed","Wed Jul 15 14:17:59 BRT 2026","Wed Jul 15 14:17:59 BRT 2026","108","Actions","","","","",".trigger() - trigger an event on a DOM element",""
"passed","Wed Jul 15 14:18:32 BRT 2026","Wed Jul 15 14:18:33 BRT 2026","102","Querying","","","","","cy.contains() - query DOM elements with matching content",""
"passed","Wed Jul 15 14:18:15 BRT 2026","Wed Jul 15 14:18:15 BRT 2026","106","Cypress APIs","Cypress.config()","","","","Get and set configuration options",""
"passed","Wed Jul 15 14:17:46 BRT 2026","Wed Jul 15 14:17:46 BRT 2026","403","example to-do app","","","","","can add new todo items",""
"passed","Wed Jul 15 14:17:53 BRT 2026","Wed Jul 15 14:17:54 BRT 2026","363","Actions","","","","",".submit() - submit a form",""
"passed","Wed Jul 15 14:18:47 BRT 2026","Wed Jul 15 14:18:47 BRT 2026","161","Utilities","","","","","Cypress.$ - call a jQuery method",""
"passed","Wed Jul 15 14:18:10 BRT 2026","Wed Jul 15 14:18:10 BRT 2026","82","Connectors","","","","",".invoke() - invoke a function on the current subject",""
"passed","Wed Jul 15 14:18:33 BRT 2026","Wed Jul 15 14:18:33 BRT 2026","89","Querying","","","","",".within() - query DOM elements within a specific element",""
"passed","Wed Jul 15 14:18:33 BRT 2026","Wed Jul 15 14:18:33 BRT 2026","592","Querying","","","","","best practices - selecting elements",""
"passed","Wed Jul 15 14:17:56 BRT 2026","Wed Jul 15 14:17:56 BRT 2026","166","Actions","","","","",".dblclick() - double click on a DOM element",""
"passed","Wed Jul 15 14:18:10 BRT 2026","Wed Jul 15 14:18:10 BRT 2026","80","Connectors",".then()","","","","yields the returned value to the next command",""
"passed","Wed Jul 15 14:18:10 BRT 2026","Wed Jul 15 14:18:10 BRT 2026","72","Connectors",".then()","","","","yields the original subject without return",""
"passed","Wed Jul 15 14:18:20 BRT 2026","Wed Jul 15 14:18:20 BRT 2026","93","Location","","","","","cy.location() - get window.location",""
"passed","Wed Jul 15 14:18:10 BRT 2026","Wed Jul 15 14:18:10 BRT 2026","101","Connectors","","","","",".its() - get properties on the current subject",""
"passed","Wed Jul 15 14:17:47 BRT 2026","Wed Jul 15 14:17:47 BRT 2026","251","example to-do app","with a checked task","","","","can delete all completed tasks",""
"passed","Wed Jul 15 14:18:22 BRT 2026","Wed Jul 15 14:18:22 BRT 2026","255","Misc","","","","","cy.focused() - get the DOM element that has focus",""
"passed","Wed Jul 15 14:18:28 BRT 2026","Wed Jul 15 14:18:29 BRT 2026","318","Network Requests","","","","","cy.request() - verify response using BDD syntax",""
"passed","Wed Jul 15 14:18:13 BRT 2026","Wed Jul 15 14:18:13 BRT 2026","173","Cookies","","","","","cy.clearCookies() - clear browser cookies for the current domain",""
"passed","Wed Jul 15 14:18:13 BRT 2026","Wed Jul 15 14:18:13 BRT 2026","101","Cookies","","","","","cy.clearAllCookies() - clear all browser cookies",""
"passed","Wed Jul 15 14:18:50 BRT 2026","Wed Jul 15 14:18:53 BRT 2026","2761","Viewport","","","","","cy.viewport() - set the viewport size and dimension",""
"passed","Wed Jul 15 14:17:53 BRT 2026","Wed Jul 15 14:17:53 BRT 2026","368","Actions","","","","",".blur() - blur off a DOM element",""
"passed","Wed Jul 15 14:18:06 BRT 2026","Wed Jul 15 14:18:06 BRT 2026","92","Assertions","Explicit Assertions","","","","finds element by class name regex",""
"passed","Wed Jul 15 14:18:20 BRT 2026","Wed Jul 15 14:18:20 BRT 2026","72","Location","","","","","cy.url() - get the current URL",""
"passed","Wed Jul 15 14:18:47 BRT 2026","Wed Jul 15 14:18:47 BRT 2026","85","Utilities","","","","","Cypress.minimatch - test out glob patterns against strings",""
"passed","Wed Jul 15 14:18:12 BRT 2026","Wed Jul 15 14:18:12 BRT 2026","246","Cookies","","","","","cy.getCookie() - get a browser cookie",""
"passed","Wed Jul 15 14:18:15 BRT 2026","Wed Jul 15 14:18:15 BRT 2026","107","Cypress APIs","Cypress.Cookies","","","",".debug() - enable or disable debugging",""
"passed","Wed Jul 15 14:18:35 BRT 2026","Wed Jul 15 14:18:35 BRT 2026","157","Spies, Stubs, and Clock","","","","","cy.spy() - wrap a method in a spy",""
"passed","Wed Jul 15 14:18:22 BRT 2026","Wed Jul 15 14:18:23 BRT 2026","423","Misc","Cypress.Screenshot","","","","cy.screenshot() - take a screenshot",""
"passed","Wed Jul 15 14:18:32 BRT 2026","Wed Jul 15 14:18:32 BRT 2026","186","Querying","","","","","cy.get() - query DOM elements",""
"passed","Wed Jul 15 14:18:15 BRT 2026","Wed Jul 15 14:18:15 BRT 2026","90","Cypress APIs","Cypress.dom","","","",".isHidden() - determine if a DOM element is hidden",""
"passed","Wed Jul 15 14:18:44 BRT 2026","Wed Jul 15 14:18:45 BRT 2026","78","Traversal","","","","",".prevUntil() - get all previous sibling DOM elements until el",""
"passed","Wed Jul 15 14:18:54 BRT 2026","Wed Jul 15 14:18:59 BRT 2026","4379","Waiting","","","","","cy.wait() - wait for a specific amount of time",""
"passed","Wed Jul 15 14:18:23 BRT 2026","Wed Jul 15 14:18:23 BRT 2026","69","Misc","Cypress.Screenshot","","","","Cypress.Screenshot.defaults() - change default config of screenshots",""
"passed","Wed Jul 15 14:18:06 BRT 2026","Wed Jul 15 14:18:06 BRT 2026","94","Assertions","Explicit Assertions","","","","matches unknown text between two elements",""
"passed","Wed Jul 15 14:17:46 BRT 2026","Wed Jul 15 14:17:46 BRT 2026","174","example to-do app","","","","","can check off an item as completed",""
"passed","Wed Jul 15 14:18:29 BRT 2026","Wed Jul 15 14:18:29 BRT 2026","274","Network Requests","","","","","cy.request() with query parameters",""
"passed","Wed Jul 15 14:18:24 BRT 2026","Wed Jul 15 14:18:25 BRT 2026","815","Navigation","","","","","cy.go() - go back or forward in the browser's history",""
"passed","Wed Jul 15 14:19:01 BRT 2026","Wed Jul 15 14:19:01 BRT 2026","75","Window","","","","","cy.title() - get the title",""
"passed","Wed Jul 15 14:18:41 BRT 2026","Wed Jul 15 14:18:41 BRT 2026","158","Local Storage / Session Storage","","","","","cy.clearAllLocalStorage() - clear all data in localStorage for all origins",""
"passed","Wed Jul 15 14:18:12 BRT 2026","Wed Jul 15 14:18:12 BRT 2026","110","Cookies","","","","","cy.getAllCookies() - get all browser cookies",""
"passed","Wed Jul 15 14:18:06 BRT 2026","Wed Jul 15 14:18:06 BRT 2026","83","Assertions","Explicit Assertions","","","","assert - assert shape of an object",""
"passed","Wed Jul 15 14:18:06 BRT 2026","Wed Jul 15 14:18:06 BRT 2026","90","Assertions","Explicit Assertions","","","","can throw any error",""
"passed","Wed Jul 15 14:18:44 BRT 2026","Wed Jul 15 14:18:44 BRT 2026","78","Traversal","","","","",".prev() - get previous sibling DOM element",""
"passed","Wed Jul 15 14:18:25 BRT 2026","Wed Jul 15 14:18:26 BRT 2026","456","Navigation","","","","","cy.reload() - reload the page",""
"passed","Wed Jul 15 14:18:38 BRT 2026","Wed Jul 15 14:18:38 BRT 2026","86","Spies, Stubs, and Clock","","","","","cy.stub() - create a stub and/or replace a function with stub",""
"passed","Wed Jul 15 14:18:12 BRT 2026","Wed Jul 15 14:18:12 BRT 2026","92","Cookies","","","","","cy.setCookie() - set a browser cookie",""
"passed","Wed Jul 15 14:18:12 BRT 2026","Wed Jul 15 14:18:12 BRT 2026","182","Cookies","","","","","cy.getCookies() - get browser cookies for the current domain",""
"passed","Wed Jul 15 14:18:15 BRT 2026","Wed Jul 15 14:18:15 BRT 2026","173","Cypress APIs","Cypress.Commands","","","",".add() - create a custom command",""
"passed","Wed Jul 15 14:18:35 BRT 2026","Wed Jul 15 14:18:38 BRT 2026","2522","Spies, Stubs, and Clock","","","","","cy.spy() retries until assertions pass",""
"passed","Wed Jul 15 14:18:29 BRT 2026","Wed Jul 15 14:18:29 BRT 2026","479","Network Requests","","","","","cy.request() - pass result to the second request",""
"passed","Wed Jul 15 14:18:44 BRT 2026","Wed Jul 15 14:18:44 BRT 2026","83","Traversal","","","","",".nextAll() - get all next sibling DOM elements",""
"passed","Wed Jul 15 14:18:44 BRT 2026","Wed Jul 15 14:18:44 BRT 2026","86","Traversal","","","","",".next() - get next sibling DOM element",""
"passed","Wed Jul 15 14:18:47 BRT 2026","Wed Jul 15 14:18:48 BRT 2026","1082","Utilities","","","","","Cypress.Promise - instantiate a bluebird promise",""
"passed","Wed Jul 15 14:18:43 BRT 2026","Wed Jul 15 14:18:43 BRT 2026","191","Traversal","","","","",".children() - get child DOM elements",""
"passed","Wed Jul 15 14:18:26 BRT 2026","Wed Jul 15 14:18:26 BRT 2026","307","Navigation","","","","","cy.visit() - visit a remote url",""
"passed","Wed Jul 15 14:18:15 BRT 2026","Wed Jul 15 14:18:15 BRT 2026","79","Cypress APIs","Cypress.env()","","","","Get environment variables",""
"passed","Wed Jul 15 14:18:05 BRT 2026","Wed Jul 15 14:18:05 BRT 2026","94","Assertions","Implicit Assertions","","","",".and() - chain multiple assertions together",""
"failed","Wed Jul 15 14:17:41 BRT 2026","Wed Jul 15 14:17:46 BRT 2026","4355","example to-do app","","","","","displays two todo items by default",""
"passed","Wed Jul 15 14:17:46 BRT 2026","Wed Jul 15 14:17:47 BRT 2026","257","example to-do app","with a checked task","","","","can filter for uncompleted tasks",""
"passed","Wed Jul 15 14:18:18 BRT 2026","Wed Jul 15 14:18:18 BRT 2026","292","Files","","","","","cy.writeFile() - write to a file",""
"passed","Wed Jul 15 14:18:43 BRT 2026","Wed Jul 15 14:18:43 BRT 2026","86","Traversal","","","","",".find() - get descendant DOM elements of the selector",""
"passed","Wed Jul 15 14:18:38 BRT 2026","Wed Jul 15 14:18:38 BRT 2026","155","Spies, Stubs, and Clock","","","","","cy.clock() - control time in the browser",""
"passed","Wed Jul 15 14:18:05 BRT 2026","Wed Jul 15 14:18:05 BRT 2026","258","Assertions","Implicit Assertions","","","",".should() - make an assertion about the current subject",""
"passed","Wed Jul 15 14:18:16 BRT 2026","Wed Jul 15 14:18:16 BRT 2026","71","Cypress APIs","Cypress.spec","","","","Get current spec information",""
"passed","Wed Jul 15 14:18:43 BRT 2026","Wed Jul 15 14:18:43 BRT 2026","93","Traversal","","","","",".eq() - get a DOM element at a specific index",""
"passed","Wed Jul 15 14:18:41 BRT 2026","Wed Jul 15 14:18:41 BRT 2026","155","Local Storage / Session Storage","","","","","cy.getAllSessionStorage() - get all data in sessionStorage for all origins",""
"passed","Wed Jul 15 14:18:06 BRT 2026","Wed Jul 15 14:18:08 BRT 2026","1586","Assertions","Explicit Assertions","","","","retries the should callback until assertions pass",""
"passed","Wed Jul 15 14:17:59 BRT 2026","Wed Jul 15 14:17:59 BRT 2026","110","Actions","","","","",".scrollIntoView() - scroll an element into view",""
"passed","Wed Jul 15 14:18:40 BRT 2026","Wed Jul 15 14:18:40 BRT 2026","422","Local Storage / Session Storage","","","","","cy.clearLocalStorage() - clear all data in localStorage for the current origin",""
"passed","Wed Jul 15 14:19:01 BRT 2026","Wed Jul 15 14:19:01 BRT 2026","166","Window","","","","","cy.window() - get the global window object",""
"passed","Wed Jul 15 14:18:45 BRT 2026","Wed Jul 15 14:18:45 BRT 2026","79","Traversal","","","","",".siblings() - get all sibling DOM elements",""
"passed","Wed Jul 15 14:18:09 BRT 2026","Wed Jul 15 14:18:10 BRT 2026","183","Connectors","","","","",".each() - iterate over an array of elements",""
"passed","Wed Jul 15 14:18:02 BRT 2026","Wed Jul 15 14:18:03 BRT 2026","259","Aliasing","","","","",".as() - alias a DOM element for later use",""
"passed","Wed Jul 15 14:17:49 BRT 2026","Wed Jul 15 14:17:52 BRT 2026","3561","Actions","","","","",".type() - type into a DOM element",""
"passed","Wed Jul 15 14:17:52 BRT 2026","Wed Jul 15 14:17:53 BRT 2026","106","Actions","","","","",".focus() - focus on a DOM element",""
"passed","Wed Jul 15 14:18:16 BRT 2026","Wed Jul 15 14:18:16 BRT 2026","77","Cypress APIs","Cypress.platform","","","","Get underlying OS name",""
"passed","Wed Jul 15 14:18:06 BRT 2026","Wed Jul 15 14:18:06 BRT 2026","96","Assertions","Explicit Assertions","","","","pass your own callback function to should()",""
"passed","Wed Jul 15 14:18:38 BRT 2026","Wed Jul 15 14:18:38 BRT 2026","244","Spies, Stubs, and Clock","","","","","cy.tick() - move time in the browser",""
"passed","Wed Jul 15 14:18:41 BRT 2026","Wed Jul 15 14:18:41 BRT 2026","163","Local Storage / Session Storage","","","","","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins",""
"passed","Wed Jul 15 14:18:28 BRT 2026","Wed Jul 15 14:18:28 BRT 2026","673","Network Requests","","","","","cy.request() - make an XHR request",""
"passed","Wed Jul 15 14:18:17 BRT 2026","Wed Jul 15 14:18:18 BRT 2026","253","Files","","","","","cy.fixture() - load a fixture",""
"passed","Wed Jul 15 14:18:59 BRT 2026","Wed Jul 15 14:18:59 BRT 2026","321","Waiting","","","","","cy.wait() - wait for a specific route",""
"passed","Wed Jul 15 14:18:22 BRT 2026","Wed Jul 15 14:18:22 BRT 2026","89","Misc","","","","","cy.wrap() - wrap an object",""
