"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","239",".within() - query DOM elements within a specific element","Querying","2026-07-25","passed","2026-07-25","","","",""
"","126",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","2026-07-25","passed","2026-07-25","","","",""
"","231","cy.window() - get the global window object","Window","2026-07-25","passed","2026-07-25","","","",""
"","130","Cypress.minimatch - test out glob patterns against strings","Utilities","2026-07-25","passed","2026-07-25","","","",""
"","340","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-07-25","passed","2026-07-25","","","",""
"","129",".parents() - get parent DOM elements from DOM elements","Traversal","2026-07-25","passed","2026-07-25","","","",""
"","543","cy.request() - make an XHR request","Network Requests","2026-07-25","passed","2026-07-25","","","",""
"","347","can filter for uncompleted tasks","example to-do app","2026-07-25","passed","2026-07-25","","with a checked task","",""
"","134",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-07-25","passed","2026-07-25","","Cypress.dom","",""
"","645","best practices - selecting elements","Querying","2026-07-25","passed","2026-07-25","","","",""
"","349","cy.request() - verify response using BDD syntax","Network Requests","2026-07-25","passed","2026-07-25","","","",""
"","161","Get and set configuration options","Cypress APIs","2026-07-25","passed","2026-07-25","","Cypress.config()","",""
"","141","cy.document() - get the document object","Window","2026-07-25","passed","2026-07-25","","","",""
"","876",".select() - select an option in a <select> element","Actions","2026-07-25","passed","2026-07-25","","","",""
"","815",".check() - check a checkbox or radio element","Actions","2026-07-25","passed","2026-07-25","","","",""
"","252","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-07-25","passed","2026-07-25","","","",""
"","128","finds element by class name regex","Assertions","2026-07-25","passed","2026-07-25","","Explicit Assertions","",""
"","187","cy.setCookie() - set a browser cookie","Cookies","2026-07-25","passed","2026-07-25","","","",""
"","173",".debug() - enable or disable debugging","Cypress APIs","2026-07-25","passed","2026-07-25","","Cypress.Cookies","",""
"","389","can filter for completed tasks","example to-do app","2026-07-25","passed","2026-07-25","","with a checked task","",""
"","177","cy.getAllCookies() - get all browser cookies","Cookies","2026-07-25","passed","2026-07-25","","","",""
"","1135","Cypress.Promise - instantiate a bluebird promise","Utilities","2026-07-25","passed","2026-07-25","","","",""
"","1048","cy.go() - go back or forward in the browser's history","Navigation","2026-07-25","passed","2026-07-25","","","",""
"","2518","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2026-07-25","passed","2026-07-25","","","",""
"","241","cy.writeFile() - write to a file","Files","2026-07-25","passed","2026-07-25","","","",""
"","217","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-07-25","passed","2026-07-25","","","",""
"","2020",".click() - click on a DOM element","Actions","2026-07-25","passed","2026-07-25","","","",""
"","129","yields the returned value to the next command","Connectors","2026-07-25","passed","2026-07-25","",".then()","",""
"","212","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2026-07-25","passed","2026-07-25","","","",""
"","267","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2026-07-25","passed","2026-07-25","","","",""
"","124",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2026-07-25","passed","2026-07-25","","","",""
"","123","Get underlying OS name","Cypress APIs","2026-07-25","passed","2026-07-25","","Cypress.platform","",""
"","136","Get environment variables","Cypress APIs","2026-07-25","passed","2026-07-25","","Cypress.env()","",""
"","230",".dblclick() - double click on a DOM element","Actions","2026-07-25","passed","2026-07-25","","","",""
"","141","pass your own callback function to should()","Assertions","2026-07-25","passed","2026-07-25","","Explicit Assertions","",""
"","118","Get current version of Cypress being run","Cypress APIs","2026-07-25","passed","2026-07-25","","Cypress.version","",""
"","139","expect - make an assertion about a specified subject","Assertions","2026-07-25","passed","2026-07-25","","Explicit Assertions","",""
"","372","Cypress._ - call a lodash method","Utilities","2026-07-25","passed","2026-07-25","","","",""
"","159",".scrollIntoView() - scroll an element into view","Actions","2026-07-25","passed","2026-07-25","","","",""
"","149","cy.readFile() - read file contents","Files","2026-07-25","passed","2026-07-25","","","",""
"","124","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-07-25","passed","2026-07-25","","Cypress.Screenshot","",""
"","471","can add new todo items","example to-do app","2026-07-25","passed","2026-07-25","","","",""
"","133",".spread() - spread an array as individual args to callback function","Connectors","2026-07-25","passed","2026-07-25","","","",""
"","535",".as() - alias a route for later use","Aliasing","2026-07-25","passed","2026-07-25","","","",""
"","129",".nextAll() - get all next sibling DOM elements","Traversal","2026-07-25","passed","2026-07-25","","","",""
"","305","cy.get() - query DOM elements","Querying","2026-07-25","passed","2026-07-25","","","",""
"","813",".uncheck() - uncheck a checkbox element","Actions","2026-07-25","passed","2026-07-25","","","",""
"","607","cy.reload() - reload the page","Navigation","2026-07-25","passed","2026-07-25","","","",""
"","233","cy.hash() - get the current URL hash","Location","2026-07-25","passed","2026-07-25","","","",""
"","242",".each() - iterate over an array of elements","Connectors","2026-07-25","passed","2026-07-25","","","",""
"","512","cy.intercept() - route responses to matching requests","Network Requests","2026-07-25","passed","2026-07-25","","","",""
"","160","cy.clearAllCookies() - clear all browser cookies","Cookies","2026-07-25","passed","2026-07-25","","","",""
"","130","matches unknown text between two elements","Assertions","2026-07-25","passed","2026-07-25","","Explicit Assertions","",""
"","287",".children() - get child DOM elements","Traversal","2026-07-25","passed","2026-07-25","","","",""
